2018rank,City,state,2018estimate,2010Census,2016 land area in sq/mi,2016 land area in km2,2016 population density in sq/mi,2016 population density in km2,rank_living_cost_index,cost_index_rate,rate_index,cost_plus_rent_index,groceries_index,restaurent_price_index,power_index
1,New York City,New York,8398748,8175133,301.5,780.9,28317,10933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Los Angeles,California,3990456,3792621,468.7,1213.9,8484,3276,12.0,77.83,70.89,74.49,72.02,83.59,123.16
3,Chicago,Illinois,2705994,2695598,227.3,588.7,11900,4600,11.0,79.56,54.83,67.67,74.74,79.2,131.21
4,Houston,Texas,2325502,2100263,637.5,1651.1,3613,1395,44.0,65.12,43.26,54.61,56.6,79.88,152.34
5,Phoenix,Arizona,1660272,1445632,517.6,1340.6,3120,1200,42.0,66.57,35.4,51.58,61.31,69.89,140.87
6,Philadelphia,Pennsylvania,1584138,1526006,134.2,347.6,11683,4511,9.0,84.46,46.87,66.39,87.55,74.66,99.85
7,San Antonio,Texas,1532233,1327407,461.0,1194.0,3238,1250,41.0,66.66,34.27,51.08,65.23,61.66,135.18
8,San Diego,California,1425976,1307402,325.2,842.3,4325,1670,24.0,72.73,63.66,68.37,65.68,74.46,139.25
9,Dallas,Texas,1345047,1197816,340.9,882.9,3866,1493,40.0,66.73,44.99,56.27,60.14,70.84,189.55
10,San Jose,California,1030119,945942,177.5,459.7,5777,2231,10.0,81.39,81.66,81.52,76.0,88.65,170.29
11,Austin,Texas,964254,790390,312.7,809.9,3031,1170,31.0,69.8,48.77,59.69,66.23,77.64,157.8
12,Jacksonville,Florida,903889,821784,747.4,1935.8,1178,455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Fort Worth,Texas,895008,741206,342.9,888.1,2491,962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Columbus,Ohio,892533,787033,218.5,565.9,3936,1520,36.0,68.07,33.84,51.61,63.57,64.26,134.7
15,San Francisco,California,883305,805235,46.9,121.5,18569,7170,5.0,89.32,111.82,100.14,85.83,91.44,144.25
16,Charlotte,North Carolina,872498,731424,305.4,791.0,2757,1064,15.0,76.73,42.46,60.25,73.87,73.8,146.34
17,Indianapolis,Indiana,867125,820445,361.5,936.3,2366,914,37.0,67.95,31.74,50.54,65.15,66.88,113.83
18,Seattle,Washington,744955,608660,83.8,17.0,8405,3245,8.0,84.8,64.48,75.03,82.26,80.3,144.86
19,Denver,Colorado,716492,600158,153.3,397.0,4521,1746,20.0,74.18,53.3,64.14,68.84,76.34,123.86
20,Washington D.C.,District of Columbia,702455,601723,61.1,158.,11148,4304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Boston,Massachusetts,694583,617594,48.3,125.1,13938,5381,7.0,86.27,73.34,80.05,88.42,83.66,124.6
22,El Paso,Texas,682669,649121,256.8,665.1,2660,1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Detroit,Michigan,672662,713777,138.8,359.5,4847,1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Nashville,Tennessee,669053,601222,475.9,1232.6,1388,536,34.0,68.43,47.27,58.26,60.51,79.96,141.69
25,Portlan,Oregon,653115,583776,133.5,345.8,4793,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Memphis,Tennessee,650618,646889,317.4,822.1,2056,794,45.0,64.53,25.89,45.95,54.91,70.76,129.69
27,Oklahoma City,Oklahoma,649021,579999,606.3,1570.3,1053,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Las Vegas,Nevada,644644,583756,134.4,348.1,4709,1818,35.0,68.11,31.45,50.48,61.12,71.76,144.68
29,Louisville,Kentucky,620118,597337,263.5,682.5,2339,903,43.0,65.84,28.12,47.7,57.83,75.1,115.99
30,Baltimore,Maryland,602495,620961,80.9,09.5,7598,2934,19.0,75.53,42.08,59.45,70.87,78.66,123.97
31,Milwaukee,Wisconsin,592025,594833,96.2,49.,6186,2388,29.0,70.51,35.62,53.73,65.48,74.79,99.1
32,Albuquerque,New Mexico,560218,545852,188.2,487.4,2972,1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tucson,Arizona,545975,520116,230.8,597.8,2299,888,27.0,71.16,26.12,49.5,62.86,68.9,111.5
34,Fresno,California,530093,494665,114.4,96.3,4563,1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Mesa,Arizona,508958,439041,137.9,357.,3514,1357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Sacramento,California,508529,466488,97.9,53.6,5059,1953,17.0,76.57,44.56,61.18,71.07,70.62,131.08
37,Atlanta,Georgia,498044,420003,133.5,345.8,3539,1366,28.0,71.1,45.8,58.94,63.98,72.3,157.49
38,Kansas City,Missouri,491918,459787,315.0,815.8,1528,590,33.0,68.86,30.39,50.37,60.43,74.41,131.44
39,Colorado Springs,Colorado,472688,416427,195.6,506.6,2378,918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Miami,Florida,470914,399457,36.0,93.,12599,4865,14.0,77.31,58.0,68.03,72.34,82.49,92.66
41,Raleigh,North Carolina,469298,403892,145.1,375.8,3163,1221,26.0,72.24,36.05,54.83,77.14,66.06,190.52
42,Omaha,Nebraska,468262,408958,133.2,345.0,3356,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Long Beach,California,467354,462257,50.3,130.3,9347,3609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Virginia Beach,Virginia,450189,437994,244.7,633.8,1850,710,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Oaklan,California,429082,390724,55.9,144.8,7514,2901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Minneapolis,Minnesota,425403,382578,54.0,139.9,7660,2960,18.0,76.3,46.96,62.19,69.86,77.24,125.96
47,Tulsa,Oklahoma,400669,391906,196.8,509.7,2048,791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Arlington,Texas,398112,365438,95.8,48.1,4100,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tampa,Florida,392890,335709,113.4,93.7,3326,1284,32.0,69.62,40.6,55.66,65.5,71.8,120.4
50,New Orleans,Louisiana,391006,343829,169.4,438.7,2311,892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Wichita,Kansas,389255,382368,160.4,415.4,2431,939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Clevelan,Ohio,383793,396815,77.7,01.,4965,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Bakersfiel,California,383579,347483,148.8,385.4,2529,976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Aurora,Colorado,374114,325078,153.5,397.6,2356,910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Anaheim,California,352005,336265,50.0,129.5,7021,2711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Honolulu,Hawaii,347397,337256,60.5,156.7,5815,2245,4.0,90.35,62.19,76.81,94.06,83.4,101.45
